Temperature	Dew Point	Humidity	Speed	Pressure	Precip. Accum.
Date	High	Avg	Low	High	Avg	Low	High	Avg	Low	High	Avg	Low	High	Low	Sum
7/1/2026	14.7 °F	10.9 °F	5.4 °F	9.7 °F	4.2 °F	-13.4 °F	92 %	75 %	31 %	38.9 mph	11.7 mph	2.5 mph	30.33 in	30.20 in	0.00 in
7/2/2026	27.1 °F	17.2 °F	11.3 °F	16.9 °F	9.1 °F	-4.4 °F	97 %	73 %	31 %	34.9 mph	12.5 mph	1.3 mph	30.31 in	30.17 in	0.00 in
7/3/2026	25.5 °F	19.4 °F	15.6 °F	25.2 °F	18.0 °F	14.0 °F	99 %	94 %	68 %	23.9 mph	2.8 mph	0.0 mph	30.19 in	30.02 in	0.00 in
7/4/2026	32.7 °F	27.1 °F	23.5 °F	22.6 °F	13.5 °F	0.0 °F	83 %	58 %	27 %	24.2 mph	6.5 mph	0.0 mph	30.12 in	30.00 in	0.00 in
7/5/2026	36.9 °F	29.9 °F	23.7 °F	23.4 °F	16.4 °F	10.2 °F	72 %	57 %	33 %	21.9 mph	8.8 mph	0.0 mph	30.21 in	30.11 in	0.00 in
7/6/2026	37.9 °F	33.2 °F	28.2 °F	30.7 °F	8.7 °F	-9.6 °F	99 %	41 %	13 %	61.7 mph	23.8 mph	1.3 mph	30.20 in	29.89 in	0.00 in
7/7/2026	34.0 °F	32.7 °F	30.6 °F	33.6 °F	32.4 °F	30.2 °F	99 %	99 %	98 %	64.0 mph	28.7 mph	5.4 mph	29.93 in	29.75 in	0.04 in
7/8/2026	36.7 °F	32.3 °F	28.6 °F	36.3 °F	31.9 °F	28.2 °F	99 %	99 %	99 %	39.8 mph	7.4 mph	0.0 mph	29.98 in	29.75 in	0.96 in
7/9/2026	31.6 °F	26.5 °F	21.0 °F	31.3 °F	26.1 °F	20.7 °F	99 %	99 %	99 %	15.9 mph	0.5 mph	0.0 mph	30.12 in	29.96 in	0.06 in
7/10/2026	26.1 °F	24.6 °F	22.8 °F	25.7 °F	24.3 °F	22.5 °F	99 %	99 %	99 %	17.2 mph	3.8 mph	0.0 mph	30.10 in	29.97 in	0.00 in
7/11/2026	32.5 °F	26.7 °F	21.7 °F	29.5 °F	24.5 °F	21.2 °F	99 %	92 %	70 %	11.0 mph	1.3 mph	0.0 mph	30.16 in	30.09 in	0.00 in
7/12/2026	42.8 °F	37.8 °F	30.9 °F	39.0 °F	31.9 °F	23.4 °F	93 %	80 %	64 %	61.3 mph	25.0 mph	1.6 mph	30.15 in	29.86 in	0.26 in
7/13/2026	41.0 °F	31.6 °F	28.4 °F	35.8 °F	30.2 °F	26.1 °F	99 %	95 %	72 %	70.9 mph	39.7 mph	12.1 mph	29.88 in	29.73 in	0.00 in
7/14/2026	31.6 °F	30.2 °F	28.2 °F	31.3 °F	29.5 °F	25.2 °F	99 %	97 %	85 %	60.0 mph	19.3 mph	0.0 mph	29.88 in	29.71 in	0.00 in
7/15/2026	29.5 °F	28.1 °F	26.6 °F	29.1 °F	27.8 °F	26.2 °F	99 %	99 %	99 %	56.2 mph	11.2 mph	0.0 mph	29.77 in	29.62 in	0.00 in
7/16/2026	32.9 °F	31.0 °F	28.6 °F	32.5 °F	30.7 °F	28.2 °F	99 %	99 %	99 %	79.0 mph	16.0 mph	0.0 mph	29.66 in	29.32 in	0.14 in
7/17/2026	29.5 °F	26.0 °F	24.1 °F	29.1 °F	25.1 °F	22.1 °F	99 %	96 %	80 %	62.4 mph	22.9 mph	0.0 mph	29.72 in	29.42 in	0.00 in
7/18/2026	27.9 °F	25.3 °F	21.4 °F	25.0 °F	21.8 °F	17.4 °F	99 %	87 %	65 %	18.1 mph	7.5 mph	0.2 mph	29.80 in	29.68 in	0.00 in
7/19/2026	24.3 °F	20.8 °F	18.3 °F	21.9 °F	18.3 °F	7.5 °F	99 %	90 %	52 %	21.3 mph	9.6 mph	0.0 mph	29.86 in	29.78 in	0.00 in
7/20/2026	27.7 °F	22.5 °F	17.8 °F	23.4 °F	5.9 °F	-18.6 °F	99 %	60 %	13 %	15.2 mph	4.5 mph	0.0 mph	29.97 in	29.84 in	0.00 in
7/21/2026	26.1 °F	21.0 °F	17.4 °F	22.6 °F	4.0 °F	-22.0 °F	99 %	57 %	13 %	21.9 mph	5.8 mph	0.0 mph	29.97 in	29.92 in	0.00 in
7/22/2026	29.1 °F	24.9 °F	18.5 °F	28.8 °F	24.4 °F	17.6 °F	99 %	98 %	96 %	31.3 mph	7.7 mph	0.0 mph	29.98 in	29.83 in	0.00 in
7/23/2026	29.1 °F	26.3 °F	21.4 °F	28.8 °F	25.9 °F	21.0 °F	99 %	99 %	99 %	47.4 mph	10.5 mph	0.0 mph	29.85 in	29.68 in	0.00 in
7/24/2026	27.3 °F	24.2 °F	21.0 °F	27.0 °F	23.8 °F	20.5 °F	99 %	99 %	98 %	56.2 mph	21.8 mph	1.6 mph	29.91 in	29.76 in	0.00 in
7/25/2026	28.0 °F	24.2 °F	18.0 °F	27.7 °F	23.8 °F	17.4 °F	99 %	99 %	97 %	23.7 mph	6.2 mph	0.0 mph	29.99 in	29.73 in	0.00 in
7/26/2026	30.6 °F	26.4 °F	18.5 °F	30.0 °F	19.6 °F	-23.1 °F	99 %	84 %	9 %	43.8 mph	15.8 mph	0.0 mph	29.99 in	29.67 in	0.00 in
7/27/2026	31.5 °F	29.8 °F	28.4 °F	31.1 °F	29.5 °F	28.0 °F	99 %	99 %	99 %	40.7 mph	15.5 mph	0.0 mph	29.81 in	29.66 in	0.00 in
7/28/2026	30.0 °F	24.1 °F	16.0 °F	29.7 °F	23.6 °F	15.3 °F	99 %	99 %	97 %	15.2 mph	1.6 mph	0.0 mph	29.99 in	29.78 in	0.00 in
7/29/2026	26.6 °F	20.9 °F	16.0 °F	26.2 °F	20.4 °F	15.3 °F	99 %	98 %	97 %	12.8 mph	2.9 mph	0.0 mph	30.00 in	29.89 in	0.00 in
7/30/2026	31.6 °F	28.4 °F	22.8 °F	31.3 °F	28.1 °F	22.5 °F	99 %	99 %	99 %	55.5 mph	13.2 mph	0.0 mph	29.90 in	29.58 in	0.00 in
